gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
Gm10715,4.193220949,0.802996939,8.276719103,9.83E-06,0.077634737,1.839356813
Gm10721,3.945100325,3.934738963,7.467254841,2.38E-05,0.098486054,2.942012643
Gm10719,3.208464376,3.427996407,7.288287046,2.92E-05,0.098486054,2.689802929
Gm10718,3.190057757,2.965722063,7.144200241,3.45E-05,0.098486054,2.449986273
Gm10717,3.32610953,2.837713298,6.394485023,8.58E-05,0.204173354,1.68518366
Plch1,5.11162891,-2.618431335,6.005155685,0.000141594,0.228885725,-2.357754784
Gm11168,3.692838248,1.37510291,5.91202838,0.00016011,0.228885725,0.700631753
Grb7,5.244310716,-2.557120448,5.723569816,0.000206061,0.246693374,-2.386239845
Gm21738,2.919656752,4.488309433,5.710854956,0.000209636,0.246693374,1.046791648
Gm45038,1.943853401,2.540971732,5.579117511,0.000250858,0.246693374,0.741652157
Gm10800,3.016860641,7.208716348,5.551653316,0.000260504,0.246693374,0.845201131
Gm10720,3.471808556,0.893632284,5.508824071,0.000276349,0.246693374,0.081605463
AL611930.1,2.750652785,0.267165538,5.377906995,0.000331545,0.278555907,-0.427544566
Gm10722,3.386517214,0.662157943,5.087626988,0.000500805,0.305554596,-0.425629412
Gm10801,3.139188226,2.559867576,5.040245143,0.000536296,0.305554596,0.104550316
Plekhb2,1.029269016,6.428813987,5.02547588,0.000547901,0.305554596,0.133218451
Efcab2,0.828063478,4.962346043,4.981984936,0.000583661,0.305554596,0.086096064
Ankrd23,1.148325588,7.378909821,4.978128414,0.00058695,0.305554596,0.062369456
Hmgn5,0.892258787,6.03156207,4.734450605,0.0008408,0.313893185,-0.276976386
Tbc1d14,1.167699299,3.194688832,4.690665651,0.000897703,0.313893185,-0.309224502
2700049A03Rik,1.000927543,3.651658258,4.688862842,0.000900132,0.313893185,-0.308107917
Gm47611,1.831297416,3.778089212,4.650773846,0.000953121,0.313893185,-0.361837742
Gm37988,1.192735403,2.215204096,4.538371892,0.001129748,0.313893185,-0.568009041
Gpatch4,0.940070076,4.212412229,4.530975273,0.00114253,0.313893185,-0.538472794
Csf2rb,2.670999112,-0.475032918,4.495227622,0.001206506,0.315786978,-1.584735438
Krt80,1.731270038,2.532137204,4.490088556,0.001216011,0.315786978,-0.604685605
Gm20716,0.940932242,4.61717342,4.468165749,0.00125746,0.320719629,-0.6388074
Gm45713,4.414850167,-1.809488225,4.332572389,0.001549458,0.359504813,-2.451423729
Gm42417,1.003506002,5.744506008,4.261610958,0.001730147,0.363778096,-0.971374153
Kbtbd8,1.772602228,0.859720404,4.257513606,0.001741238,0.363778096,-1.18274713
Gm17132,0.856594027,6.071556603,4.251792613,0.00175685,0.363778096,-0.991502475
AL646044.2,1.350374796,2.58128619,4.18439593,0.001952311,0.363778096,-1.018361304
Lsm6,0.700898311,5.785632727,4.172486906,0.001989172,0.363778096,-1.107379799
Gm47356,2.211469021,2.466274497,4.172409742,0.001989413,0.363778096,-1.038393408
Opcml,1.816418626,1.887698422,4.163829814,0.002016428,0.363778096,-1.089055005
Amd-ps3,1.109301147,3.813947589,4.161646796,0.002023363,0.363778096,-1.066062258
Gm48401,1.747645771,2.523897926,4.156301683,0.002040449,0.363778096,-1.058873578
Htatsf1,0.728750906,7.250721612,4.151303792,0.002056564,0.363778096,-1.156535924
Gm45062,5.304407384,-0.625469762,4.136065326,0.00210653,0.364355597,-1.945919805
Dennd1c,1.850426036,0.689786789,4.044466843,0.002435111,0.382673398,-1.473199663
